ID,Number,From,To,WaitToBoard,TotalTime
0,3,5,4,18,28
1,6,5,2,18,45
9,4,3,0,17,38
3,4,0,1,53,63
8,2,0,2,44,63
2,1,0,4,57,88
4,1,0,4,50,81
7,3,2,4,65,76
5,1,4,5,82,91
6,4,4,5,78,87
10,1,4,5,6,14
12,1,4,5,1,9
11,3,5,0,14,34
13,4,0,5,31,58
14,6,4,5,46,55
16,5,3,1,9,21
15,3,1,5,23,40
17,2,4,0,6,28
22,3,2,0,7,18
19,6,0,3,27,46
20,4,0,5,24,55
24,6,0,1,69,79
23,2,0,2,72,93
21,4,1,2,88,97
25,1,0,4,66,100
18,3,2,4,105,116
26,3,1,3,12,25
29,4,1,5,4,30
30,6,3,5,16,28
27,6,0,2,57,72
28,6,0,1,84,93
31,2,4,5,12,21
32,3,4,5,8,17
36,1,5,1,13,33
35,4,5,0,14,43
37,5,5,0,12,41
40,3,0,5,39,65
33,6,2,5,62,77
41,2,5,0,64,100
34,6,3,0,88,113
39,4,2,0,117,135
38,5,1,0,128,137
42,4,5,2,18,34
43,3,5,0,17,45
45,3,0,5,42,68
44,5,4,5,60,69
47,4,0,1,18,27
46,2,1,4,29,43
50,1,0,5,14,48
48,2,4,5,42,50
49,3,1,0,67,75
51,6,0,1,3,12
56,2,1,4,1,21
53,5,3,4,22,31
54,2,4,5,30,38
52,5,3,0,54,74
55,2,2,0,55,66
57,5,0,4,64,82
58,6,0,5,15,41
66,2,2,5,7,21
60,4,5,1,37,66
59,1,5,0,41,81
62,2,5,0,35,75
65,5,1,0,58,67
63,5,0,5,77,98
61,4,2,0,119,131
68,5,0,3,3,27
69,2,2,4,18,35
67,3,0,5,3,44
75,5,5,4,28,38
76,4,3,2,43,53
72,2,5,1,36,74
71,2,3,1,55,74
73,1,3,0,54,82
70,3,0,1,88,96
74,2,2,5,95,109
78,1,0,3,15,32
77,4,0,5,18,46
79,5,0,5,15,43
81,5,3,1,48,60
80,3,0,1,73,81
82,4,0,3,6,21
83,1,5,1,31,60
85,3,3,1,43,55
84,4,4,0,35,66
86,2,3,0,41,63
87,5,1,0,69,78
88,3,0,1,3,13
91,4,0,1,2,12
90,2,0,3,2,31
89,6,2,4,23,40
92,2,3,0,46,60
93,4,2,5,9,24
95,3,5,4,18,26
94,6,0,3,47,62
96,5,0,1,73,82
97,6,0,3,91,106
99,1,0,1,118,131
98,6,0,4,121,148
100,5,0,1,159,168
101,2,0,1,6,14
102,1,0,2,5,21
103,2,5,0,33,53
104,4,0,1,3,12
105,2,0,3,2,23
111,6,3,5,12,29
110,3,4,5,22,30
108,6,5,1,39,57
106,3,0,2,67,83
107,5,0,4,66,93
109,4,0,1,109,118
113,3,0,3,3,22
112,4,0,5,6,38
114,5,3,5,23,35
116,4,0,1,50,60
115,4,0,4,54,79
117,6,4,5,3,12
121,4,2,0,20,38
122,3,1,0,27,36
126,1,1,0,20,29
119,2,0,1,46,56
123,3,1,2,50,58
118,5,0,3,46,73
125,4,3,5,63,75
124,1,0,2,98,111
120,6,0,4,104,128
127,2,0,5,94,127
131,4,0,1,11,24
132,3,0,3,10,35
128,1,0,5,18,56
136,4,3,5,30,42
129,2,5,1,56,75
130,2,5,0,54,81
133,4,5,0,49,76
134,4,0,1,77,88
135,6,0,5,77,106
137,3,0,5,122,144
138,5,0,5,118,140
139,3,3,4,9,17
141,6,5,0,18,49
140,1,2,0,37,53
145,6,1,4,51,71
144,2,2,5,64,84
143,3,5,4,85,94
146,1,5,0,77,109
147,6,1,0,96,105
148,4,3,5,12,24
149,3,5,4,26,34
152,3,0,1,46,56
151,4,0,4,47,73
150,6,1,5,59,83
155,5,0,2,93,110
153,2,1,2,107,115
154,5,1,4,121,136
156,3,1,4,12,33
158,6,1,5,9,38
159,2,0,1,58,67
157,4,0,2,59,76
160,2,3,4,82,90
164,2,0,1,12,23
165,3,0,2,11,30
161,2,0,4,15,45
163,3,0,5,12,50
168,1,5,4,44,52
162,4,1,0,74,83
167,3,0,1,78,88
166,6,0,3,79,100
170,6,0,2,109,122
169,2,0,3,109,131
172,5,4,0,6,24
171,3,1,5,33,50
173,5,0,2,18,36
174,2,0,3,14,41
181,2,0,4,4,39
177,5,5,0,53,85
178,3,5,0,53,85
175,2,1,0,80,88
176,4,1,5,97,115
179,6,5,0,116,142
180,6,3,2,154,163
187,2,4,5,4,12
182,1,5,0,21,47
184,4,5,0,16,42
186,2,1,0,31,39
185,3,0,1,43,54
183,4,0,2,46,69
189,3,0,3,42,74
188,6,1,3,85,97
190,3,2,0,6,23
193,6,1,0,6,15
191,5,0,1,24,34
196,4,0,2,11,32
198,6,1,4,20,41
195,3,4,5,48,56
192,1,4,2,71,82
194,2,2,1,80,88
197,5,0,1,89,98
199,1,0,1,84,93
200,2,3,5,9,20
203,1,0,1,32,43
201,5,0,2,37,60
204,4,0,2,29,52
205,2,3,5,60,71
206,1,0,4,91,113
202,3,1,5,106,128
207,1,5,4,3,11
208,2,5,0,15,35
209,4,5,0,18,45
210,2,5,0,18,45
211,4,2,0,29,41
212,2,3,5,58,69
214,3,0,1,17,27
215,1,0,4,15,40
213,4,0,5,18,51
217,1,0,5,14,47
221,3,5,0,43,73
220,3,4,0,54,76
216,6,1,2,89,99
222,2,1,3,81,100
218,5,1,0,117,127
219,3,1,0,117,127
223,1,0,3,3,17
224,1,4,5,21,29
228,4,5,0,22,43
226,3,0,1,49,59
225,1,0,3,51,72
227,5,0,4,48,77
230,3,5,0,6,33
232,3,5,0,2,29
234,4,1,0,15,24
233,2,0,1,31,41
231,3,0,2,35,53
229,4,0,5,37,69
236,3,2,0,12,23
235,1,0,2,24,35
237,5,2,0,3,21
240,4,1,0,7,16
244,4,0,3,6,27
239,6,3,4,43,52
241,3,0,5,18,59
242,1,2,5,27,55
238,1,4,2,71,82
243,3,2,0,72,83
246,2,5,2,16,40
251,1,4,1,21,41
245,5,5,0,18,59
249,2,5,0,11,52
252,4,0,1,49,58
247,5,2,4,78,90
254,3,4,5,75,83
253,5,5,1,87,115
250,1,3,1,108,124
248,5,2,0,137,149
255,5,1,5,6,24
257,4,1,0,38,47
256,2,0,1,50,59
258,3,0,2,47,64
259,2,1,5,6,29
260,4,4,5,20,29
262,2,4,2,34,45
261,3,0,2,58,71
263,5,0,5,55,82
265,4,0,1,18,28
264,4,0,5,18,46
269,2,0,1,12,25
270,1,0,4,9,36
266,2,0,5,18,53
267,2,0,5,18,53
268,1,2,1,70,78
274,6,4,0,43,71
271,5,0,4,79,99
272,2,0,4,78,98
273,3,0,4,74,94
275,6,2,0,9,21
276,1,0,1,21,29
277,3,4,1,41,55
278,3,3,0,9,25
279,5,3,0,5,21
280,4,0,5,24,45
281,3,5,4,45,54
283,2,5,0,40,68
282,3,4,0,52,70
284,1,4,0,50,68
285,1,4,5,15,23
293,3,5,0,5,36
290,5,2,0,28,45
287,2,1,0,43,51
288,2,0,2,51,67
289,6,2,4,66,83
286,3,1,5,63,98
291,3,3,4,119,127
292,6,1,5,103,131
294,6,0,4,18,36
299,2,5,1,41,64
295,4,4,0,51,74
296,5,0,1,76,86
297,3,0,1,75,85
300,5,0,1,91,101
298,4,0,4,95,120
301,5,0,1,15,26
303,2,0,1,13,24
306,3,0,5,7,39
304,4,1,5,24,42
302,3,2,1,61,71
305,5,2,1,57,67
307,6,0,2,75,89
308,4,0,4,73,99
309,2,3,4,6,14
311,6,4,1,10,25
310,3,0,5,38,58
312,5,3,5,9,30
313,4,3,5,6,27
318,4,5,2,20,37
319,1,5,1,16,46
316,5,5,0,20,58
320,3,2,0,35,54
314,4,0,4,68,92
315,4,0,5,65,102
321,2,3,5,69,90
322,4,2,0,103,115
317,5,4,5,143,152
323,6,5,0,3,29
325,2,1,0,18,26
326,2,0,1,27,37
327,6,0,4,24,53
324,2,3,4,50,58
328,5,5,2,60,75
329,1,2,5,3,17
331,4,5,0,13,39
332,2,1,0,30,38
330,2,1,2,50,58
333,2,2,0,3,14
335,1,0,1,11,21
340,1,0,1,3,13
334,4,0,3,12,34
339,3,0,5,5,41
337,6,3,5,30,42
336,5,2,0,59,76
338,2,1,0,67,75
341,2,0,3,73,93
343,4,1,5,76,99
342,6,1,0,121,130
345,2,1,0,6,14
346,2,0,1,13,26
348,2,0,1,8,21
351,4,1,3,16,28
349,6,0,5,4,43
350,3,0,1,62,70
344,5,2,3,91,100
347,6,2,4,105,117
354,1,3,2,11,19
352,4,4,0,3,31
357,2,0,2,22,34
356,4,0,3,26,48
355,3,2,3,42,51
360,1,3,4,36,44
353,1,2,5,45,73
358,4,5,4,60,69
361,3,2,1,78,86
359,2,3,0,74,98
362,3,0,1,3,11
363,2,5,2,27,41
364,5,0,1,9,19
372,4,2,3,15,24
368,2,0,4,0,37
371,1,3,4,27,35
365,5,5,1,55,77
366,4,5,0,51,82
370,4,0,3,77,93
369,5,0,4,78,103
367,6,5,2,116,131
373,6,1,2,6,15
374,2,5,0,26,51
380,2,3,0,25,39
377,5,0,1,43,56
376,2,0,3,45,71
375,2,1,5,64,86
378,5,0,5,100,121
379,6,0,5,141,162
384,1,5,4,6,14
383,3,4,2,18,38
385,5,3,0,20,43
382,5,0,2,53,67
381,5,0,3,204,227
389,3,4,5,71,79
390,1,5,4,80,89
391,3,5,0,77,109
388,5,3,0,97,112
392,3,0,1,110,118
386,2,1,2,126,135
387,2,1,2,124,133
394,4,0,1,9,18
393,4,1,5,20,44
396,5,4,5,33,42
397,1,4,5,33,42
398,5,4,0,50,79
399,4,2,0,58,75
400,5,4,5,91,100
395,3,1,0,129,137
401,3,0,5,3,28
402,2,4,5,17,25
408,5,5,4,13,22
403,4,4,2,34,46
404,3,1,0,53,61
406,4,0,4,59,79
405,6,0,5,61,90
409,1,0,3,103,120
407,2,0,5,107,135
410,5,0,5,103,131
411,2,0,5,99,127
412,3,3,0,9,23
414,4,0,1,17,28
415,4,2,3,34,43
416,6,0,5,12,58
421,3,4,5,41,49
413,5,5,4,69,78
419,1,3,1,76,87
417,4,4,0,70,98
418,1,0,1,99,108
420,5,0,2,95,112
422,3,4,5,9,17
424,6,4,0,17,40
426,3,1,0,29,37
423,2,1,4,54,68
425,1,1,5,48,70
427,4,0,1,18,27
429,1,0,2,12,31
428,1,1,5,26,48
430,4,5,0,46,72
431,3,1,0,61,69
432,6,5,1,18,40
434,3,5,0,14,45
437,4,0,3,41,62
436,2,1,4,53,74
433,3,3,4,72,80
435,3,0,5,46,86
439,4,5,4,80,89
441,2,0,1,102,112
438,5,1,4,119,134
440,5,0,5,103,138
445,4,0,1,8,19
444,2,1,3,25,36
443,4,0,4,14,47
446,2,3,4,29,37
442,2,0,5,18,60
447,6,4,5,6,15
451,5,0,1,28,39
450,1,1,3,44,61
449,4,2,3,53,62
448,5,0,4,33,72
456,3,0,2,8,26
452,1,0,3,15,41
457,2,0,4,8,42
453,4,1,5,21,54
455,6,2,0,65,82
454,2,1,0,78,86
458,5,0,5,82,103
459,3,1,0,15,23
460,3,0,4,24,41
462,3,1,0,12,25
468,2,1,0,3,11
461,4,0,1,27,37
463,4,0,3,25,51
465,1,1,5,32,59
469,2,3,5,41,52
470,2,2,1,62,70
464,3,0,2,92,112
467,2,0,2,85,105
466,6,1,5,118,136
474,2,0,1,13,22
471,3,0,2,18,36
475,3,1,3,23,39
473,1,5,0,51,77
472,4,1,0,68,77
477,3,0,1,1,10
478,2,0,1,1,10
476,1,0,5,3,30
479,6,0,2,18,30
480,1,2,5,32,46
481,2,2,1,12,20
487,6,1,0,3,12
483,4,0,2,27,40
482,3,0,4,28,59
485,4,3,5,42,59
484,2,3,1,74,86
486,2,3,0,67,89
488,6,1,0,74,83
489,4,5,4,18,28
491,2,5,4,17,27
493,2,5,0,13,46
495,2,1,0,33,41
490,4,0,1,52,65
492,4,0,3,50,75
497,3,0,1,83,93
496,2,0,4,83,107
494,4,0,5,85,117
498,4,0,5,135,156
499,1,2,0,12,30
500,3,1,0,19,29
501,5,1,0,19,29
503,4,1,4,32,53
502,5,3,4,47,56
504,4,3,0,60,75
64,4,4,0,1734,-1
142,5,5,0,3667,-1
